Month,Average viewers,Peak viewers,Average channels,Peak channels,Games streamed,Active affiliates,Active partners,Hours watched,Hours streamed
Jan 2016,646355,1275257,20076,35788,12149,74399,13360,480241904.0,14916896.0
February 2016,635769,1308032,20427,34954,12134,74572,13514,441859897.0,14196874.0
March 2016,660389,1591551,20271,35019,12234,77899,13871,490669308.0,15062084.0
April 2016,525696,1775120,16791,33973,12282,78753,14019,377975447.0,12072839.0
May 2016,605432,1438962,19394,32880,12424,84012,14409,449836631.0,14410117.0
June 2016,620903,1755888,18818,30935,12374,82394,14213,446429345.0,13530279.0
July 2016,600715,1453743,18030,27522,12961,83858,14300,446331825.0,13396486.0
August 2016,514289,1334490,16592,29061,13693,87572,14514,382117373.0,12328274.0
September 2016,504635,1186009,16880,30957,13484,90028,14848,362833210.0,12137266.0
October 2016,609737,1549150,19250,32931,13973,95532,15685,453035001.0,14303372.0
November 2016,625435,1410023,20715,38234,13968,96632,15880,449688428.0,14894108.0
December 2016,660140,1385864,22291,36915,14033,106404,16145,490484523.0,16562912.0
Jan 2017,809220,2284184,24081,40243,14841,115447,16737,601251200.0,17892557.0
February 2017,746545,1524883,24219,40385,14737,113802,16721,500932308.0,16251299.0
March 2017,695020,1500730,23094,39747,14794,113841,17170,516399977.0,17159308.0
April 2017,744688,1823848,22078,36939,15007,116995,17329,535431301.0,15874785.0
May 2017,682271,1514023,22362,36115,15276,132051,17906,506927522.0,16615152.0
June 2017,710476,1935516,23412,36399,15393,136058,18119,510832330.0,16833868.0
July 2017,762986,1802287,25810,43137,15962,146063,18429,566899230.0,19176937.0
August 2017,717968,1824303,24711,36454,15898,150439,18664,533450366.0,18360730.0
September 2017,733784,1519456,25038,39335,15804,154847,19156,527591318.0,18002680.0
October 2017,787587,1835725,25723,41037,15847,163889,19373,585177534.0,19112707.0
November 2017,800488,1532756,26768,44464,16532,170527,19607,575551503.0,19246637.0
December 2017,771382,1496306,28181,45090,16871,182548,19768,573137507.0,20938696.0
Jan 2018,969340,2315343,33580,54637,18309,202365,20100,720220030.0,24950646.0
February 2018,917601,1735587,35548,57274,18667,208213,20067,615710441.0,23852765.0
March 2018,970850,2399946,38981,64646,19274,230653,20756,721341613.0,28963257.0
April 2018,1014361,2009005,39491,63502,19132,239338,20697,729326135.0,28394485.0
May 2018,1025810,1714327,38746,60843,19011,251830,20615,762177378.0,28788356.0
June 2018,1097447,2847241,39761,59638,18833,259664,20495,789065029.0,28588317.0
