Category: All categories

Month,quarantine: (Worldwide)
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,1
2018-01,1
2018-02,1
2018-03,1
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,1
2018-11,1
2018-12,1
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,3
2020-02,8
2020-03,100
2020-04,80
2020-05,49
2020-06,34
2020-07,41
2020-08,41
2020-09,30
2020-10,27
2020-11,21
2020-12,23
2021-01,19
2021-02,18
2021-03,16
2021-04,17
2021-05,14
2021-06,14
2021-07,15
2021-08,17
2021-09,14
2021-10,11
2021-11,11
2021-12,22
2022-01,24
2022-02,10
2022-03,7
2022-04,6
2022-05,7
2022-06,7
2022-07,8
2022-08,7
2022-09,5
2022-10,3
2022-11,3
2022-12,4
2023-01,3
2023-02,2
