Category: All categories

Month,covid: (Worldwide)
2016-01,<1
2016-02,<1
2016-03,<1
2016-04,<1
2016-05,<1
2016-06,<1
2016-07,<1
2016-08,<1
2016-09,<1
2016-10,<1
2016-11,<1
2016-12,<1
2017-01,0
2017-02,<1
2017-03,<1
2017-04,0
2017-05,<1
2017-06,<1
2017-07,<1
2017-08,<1
2017-09,<1
2017-10,<1
2017-11,0
2017-12,<1
2018-01,<1
2018-02,<1
2018-03,<1
2018-04,<1
2018-05,<1
2018-06,<1
2018-07,<1
2018-08,<1
2018-09,<1
2018-10,0
2018-11,<1
2018-12,<1
2019-01,<1
2019-02,<1
2019-03,<1
2019-04,<1
2019-05,<1
2019-06,<1
2019-07,<1
2019-08,<1
2019-09,<1
2019-10,<1
2019-11,<1
2019-12,<1
2020-01,<1
2020-02,2
2020-03,58
2020-04,77
2020-05,59
2020-06,52
2020-07,62
2020-08,51
2020-09,50
2020-10,59
2020-11,64
2020-12,68
2021-01,72
2021-02,63
2021-03,73
2021-04,76
2021-05,71
2021-06,63
2021-07,73
2021-08,77
2021-09,59
2021-10,47
2021-11,51
2021-12,83
2022-01,100
2022-02,42
2022-03,33
2022-04,24
2022-05,21
2022-06,22
2022-07,25
2022-08,16
2022-09,13
2022-10,12
2022-11,11
2022-12,14
2023-01,9
2023-02,7
